מספר שורה,קטגוריה,קטגוריה (אנגלית),מזהה שאלה,שאלה בעברית,שאלה באנגלית
1,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","pale_swollen_tongue","מה המשמעות הקלינית של לשון חיוורת ונפוחה עם סימני שיניים?","What is the clinical significance of a pale, swollen tongue with teeth marks?"
2,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","yellow_thick_coating","על מה מעיד חיפוי לשון צהוב ועבה במחמם האמצעי?","What does a thick yellow tongue coating in the Middle Jiao indicate?"
3,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","wiry_pulse","כיצד מתואר דופק ""מיתרי"" (Wiry) ומה הוא מסמל?","How is a ""Wiry"" pulse described and what does it signify?"
4,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","purple_vs_crimson","מה ההבדל באבחנה בין לשון סגולה (Purple) לבין לשון אדומה כהה (Crimson)?","What is the diagnostic difference between a Purple tongue and a Crimson tongue?"
5,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","central_crack","מהי המשמעות של חריץ מרכזי המגיע עד קצה הלשון?","What is the significance of a central crack extending to the tip of the tongue?"
6,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","slippery_pulse_phlegm","כיצד נזהה דופק ""מתגלגל"" (Slippery) ומה הקשר שלו לליחה?","How do we identify a ""Slippery"" pulse and what is its connection to phlegm?"
7,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","red_tip_points","מה מעיד קצה לשון אדום מאוד עם נקודות אדומות (Red Points)?","What does a very red tongue tip with red points indicate?"
8,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","floating_vs_deep","מהי האינדיקציה של דופק ""צף"" (Floating) לעומת דופק ""שוקע"" (Deep)?","What is the indication of a ""Floating"" pulse versus a ""Deep"" pulse?"
9,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","peeled_coating","מה מסמל חיפוי לשון ""מקורף"" (Peeled) או גאוגרפי?","What does a ""Peeled"" or geographic tongue coating signify?"
10,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","yin_def_tongue","כיצד מתבטא חוסר יין (Yin Def) במראה הלשון?","How does Yin Deficiency manifest in the tongue appearance?"
11,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","thin_vs_weak_pulse","מה ההבדל בין דופק ""דק"" (Thin/Fine) לדופק ""חלש"" (Weak)?","What is the difference between a ""Thin/Fine"" pulse and a ""Weak"" pulse?"
12,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","sublingual_veins","האם ורידים תת-לשוניים (Sublingual) כהים מוזכרים, ומה משמעותם?","Are dark sublingual veins mentioned, and what is their significance?"
13,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","quivering_tongue","מה המשמעות של לשון רועדת (Quivering) אצל מטופל מבוגר?","What is the significance of a quivering tongue in an elderly patient?"
14,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","damp_heat_coating","כיצד נראה חיפוי של ""לחות-חמה"" (Damp-Heat) על הלשון?","How does a ""Damp-Heat"" coating appear on the tongue?"
15,"אבחון דופק ולשון","Pulse & Tongue Diagnosis","rapid_vs_racing","מה ההבדל בין דופק מהיר (Rapid) לדופק דהור (Racing/Hurried)?","What is the difference between a Rapid pulse and a Racing/Hurried pulse?"
16,"אריכות ימים ואיכות חיים","Longevity & Dignity","chief_complaint","במשפט אחד, מהו הקושי הבריאותי העיקרי שמפריע לאיכות החיים שלך כיום?","In one sentence, what is the main health difficulty affecting your quality of life today?"
17,"אריכות ימים ואיכות חיים","Longevity & Dignity","digestion_lower","האם היציאות שלך סדירות, או שאת/ה סובל/ת מעצירות כרונית או משלשולים תכופים?","Are your bowel movements regular, or do you suffer from chronic constipation or frequent diarrhea?"
18,"אריכות ימים ואיכות חיים","Longevity & Dignity","digestion_upper","האם את/ה סובל/ת מצרבות, תחושת ""שריפה"" בחזה, או חוסר נוחות בבטן העליונה לאחר האוכל?","Do you suffer from heartburn, burning sensation in chest, or upper abdominal discomfort after eating?"
19,"אריכות ימים ואיכות חיים","Longevity & Dignity","nutrition","האם יש לך תיאבון בריא ואת/ה מצליח/ה לשמור על משקל יציב, או שיש ירידה במשקל ובחשק לאכול?","Do you have a healthy appetite and maintain stable weight, or is there weight loss and decreased desire to eat?"
20,"אריכות ימים ואיכות חיים","Longevity & Dignity","breath","האם את/ה חווה קוצר נשימה או התעייפות מהירה גם במאמץ קל?","Do you experience shortness of breath or quick fatigue even with mild exertion?"
21,"אריכות ימים ואיכות חיים","Longevity & Dignity","sleep","האם שנת הלילה שלך שקטה, או שאת/ה מתעורר/ת לעיתים קרובות?","Is your night sleep peaceful, or do you wake up frequently?"
22,"אריכות ימים ואיכות חיים","Longevity & Dignity","balance","האם את/ה מרגיש/ה לעיתים סחרחורת, חוסר יציבות בהליכה, או חשש מנפילה?","Do you sometimes feel dizziness, unsteady walking, or fear of falling?"
23,"אריכות ימים ואיכות חיים","Longevity & Dignity","pain","האם כאבים במפרקים או בגב מגבילים את התנועה שלך בבית או בחוץ?","Do joint pains or back pain limit your movement at home or outside?"
24,"אריכות ימים ואיכות חיים","Longevity & Dignity","circulation","האם את/ה סובל/ת מקור קיצוני בכפות הידיים והרגליים, או דווקא מגלי חום והזעה?","Do you suffer from extreme cold in hands and feet, or rather from hot flashes and sweating?"
25,"אריכות ימים ואיכות חיים","Longevity & Dignity","memory","האם את/ה או הקרובים אליך מבחינים בשינויים בזיכרון, בלבול, או קושי בריכוז לאחרונה?","Do you or those close to you notice changes in memory, confusion, or difficulty concentrating recently?"
26,"אריכות ימים ואיכות חיים","Longevity & Dignity","mood","האם מצב הרוח שלך יציב, או שאת/ה חווה תקופות של עצבות עמוקה, חרדה או תחושת בדידות?","Is your mood stable, or do you experience periods of deep sadness, anxiety, or loneliness?"
27,"אריכות ימים ואיכות חיים","Longevity & Dignity","urinary","האם את/ה נתקל/ת בקושי לשלוט בשתן, או בקושי להתחיל במתן שתן?","Do you have difficulty controlling urine, or difficulty starting urination?"
28,"אריכות ימים ואיכות חיים","Longevity & Dignity","senses","האם חלה ירידה משמעותית בראייה או בשמיעה שמפריעה לך בתקשורת עם הסביבה?","Has there been significant decline in vision or hearing that interferes with communication?"
29,"אריכות ימים ואיכות חיים","Longevity & Dignity","medication","האם ריבוי התרופות גורם לך לתופעות לוואי במערכת העיכול?","Does polypharmacy cause digestive side effects?"
30,"אריכות ימים ואיכות חיים","Longevity & Dignity","the_goal","מהו הדבר החשוב לך ביותר לשמר בשנים הקרובות?","What is most important for you to preserve in the coming years?"
31,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","chief_complaint","במשפט אחד, מהו האתגר הבריאותי המרכזי שמונע ממך להרגיש במיטבך כיום?","What is the main health challenge preventing you from feeling your best today?"
32,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","stress_liver","כיצד את/ה חווה מתח בחיי היומיום? (התפרצויות כעס, תחושת תקיעות בגרון/חזה, חרדה)","How do you experience stress in daily life?"
33,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","womens_health","(לנשים) האם המחזור החודשי שלך סדיר? האם את סובלת מכאבים חזקים או PMS?","(For women) Is your menstrual cycle regular? Do you suffer from severe pain or PMS?"
34,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","digestion","האם את/ה סובל/ת מנפיחות בבטן, צרבות, IBS או עייפות בולטת לאחר ארוחות?","Do you suffer from bloating, heartburn, IBS, or noticeable fatigue after meals?"
35,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","sleep_quality","האם קשה לך להירדם בגלל ""ראש רץ"", או שאת/ה מתעורר/ת עייף/ה גם אחרי שנת לילה?","Is it hard to fall asleep due to racing thoughts, or do you wake up tired even after a full night's sleep?"
36,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","energy_levels","בסולם של 1-10, כמה אנרגיה יש לך באמצע היום? האם את/ה זקוק/ה לקפה כדי לתפקד?","On a scale of 1-10, how much energy do you have midday? Do you need coffee to keep functioning?"
37,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","headaches_tension","האם את/ה סובל/ת מכאבי ראש, מיגרנות, או מתח כרוני באזור הכתפיים והצוואר?","Do you suffer from headaches, migraines, or chronic tension in shoulders and neck?"
38,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","pain_injury","האם יש לך פציעות ספורט ישנות שחוזרות להציק, או כאבי גב תחתון?","Do you have old sports injuries that keep recurring, or lower back pain?"
39,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","temperature","האם הידיים והרגליים שלך נוטות להיות קרות תמיד, או שאת/ה סובל/ת מחום והזעת יתר?","Are your hands and feet always cold, or do you suffer from heat and excessive sweating?"
40,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","immunity","האם את/ה נוטה לחלות לעיתים קרובות, או סובל/ת מאלרגיות עונתיות וסינוסיטיס?","Do you tend to get sick often, or suffer from seasonal allergies and sinusitis?"
41,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","skin_health","האם העור שלך נוטה לאקנה, אדמומיות, פריחות או יובש קיצוני?","Does your skin tend toward acne, redness, rashes, or extreme dryness?"
42,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","focus_mind","האם את/ה חווה קושי להתרכז, ""ערפל מחשבתי"" או מוסחות דעת גבוהה?","Do you experience difficulty concentrating, brain fog, or high distractibility?"
43,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","lifestyle","האם אורח החיים שלך כולל ישיבה ממושכת, או פעילות גופנית אינטנסיבית מדי?","Does your lifestyle include prolonged sitting or too intense physical activity?"
44,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","cravings","האם יש לך חשקים עזים וספציפיים (מתוק, מלוח, שומני) כשאת/ה עייף/ה או לחוץ/ה?","Do you have intense specific cravings when tired or stressed?"
45,"איזון וחיזוק (מבוגרים)","Balance & Strength (Adults)","the_goal","אם הטיפול יצליח מעבר למצופה, איך ייראו החיים שלך בעוד 3 חודשים מהיום?","If treatment succeeds beyond expectations, how will your life look 3 months from now?"
46,"שיקום וטיפול בכאב","Pain Rehabilitation","injury_details","במשפט אחד, מהי הפציעה או הטראומה העיקרית שמביאה אותך לטיפול היום?","What is the main injury or trauma that brings you to treatment today?"
47,"שיקום וטיפול בכאב","Pain Rehabilitation","pain_quality","כיצד היית מתאר/ת את הכאב? האם הוא חד ודוקר, עמום ולוחץ, או שורף?","How would you describe the pain? Is it sharp and stabbing, dull and pressing, or burning?"
48,"שיקום וטיפול בכאב","Pain Rehabilitation","night_pain","האם הכאב מחמיר באופן משמעותי בלילה, או אפילו מעיר אותך משינה?","Does the pain significantly worsen at night, or even wake you from sleep?"
49,"שיקום וטיפול בכאב","Pain Rehabilitation","weather","האם את/ה מרגיש/ה החמרה בכאב או בנוקשות כשמזג האוויר משתנה?","Do you feel worsening pain or stiffness when the weather changes?"
50,"שיקום וטיפול בכאב","Pain Rehabilitation","swelling","האם יש נפיחות נראית לעין, בצקת או תחושת ""מלאות"" באזור הפגוע?","Is there visible swelling, edema, or a feeling of ""fullness"" in the affected area?"
51,"שיקום וטיפול בכאב","Pain Rehabilitation","movement","האם הכאב מחמיר בתחילת תנועה ומשתפר לאחר ""חימום"", או שהוא מחמיר ככל שאת/ה פעיל/ה יותר?","Does the pain worsen at the start of movement and improve after warming up?"
52,"שיקום וטיפול בכאב","Pain Rehabilitation","stiffness","האם את/ה סובל/ת מנוקשות שמגבילה את טווח התנועה?","Do you suffer from stiffness that limits your range of motion?"
53,"שיקום וטיפול בכאב","Pain Rehabilitation","temperature","האם המקום הפגוע מרגיש חם למגע ואדום, או קר ונוטה להכחיל?","Does the affected area feel hot to the touch and red, or cold and tends to turn blue?"
54,"שיקום וטיפול בכאב","Pain Rehabilitation","nerve_pain","האם יש תחושת נימול, הירדמות, או זרמים חשמליים המקרינים מהאזור הפגוע לגפיים?","Is there numbness, tingling, or electrical currents radiating from the affected area?"
55,"שיקום וטיפול בכאב","Pain Rehabilitation","posture","האם הכאב קשור לתנוחת עבודה (ישיבה ממושכת מול מחשב, עמידה על הרגליים)?","Is the pain related to work posture?"
56,"שיקום וטיפול בכאב","Pain Rehabilitation","stress_pain","האם הכאב מוחמר בתקופות של מתח רגשי או עומס נפשי?","Is the pain exacerbated during periods of emotional stress?"
57,"שיקום וטיפול בכאב","Pain Rehabilitation","history","האם הכאב הנוכחי קשור לטראומה ישנה (תאונת דרכים, נפילה מלפני שנים) שמעולם לא טופלה כראוי?","Is the current pain related to old trauma that was never properly treated?"
58,"שיקום וטיפול בכאב","Pain Rehabilitation","medications","אילו תרופות או משככי כאבים את/ה נוטל/ת באופן קבוע, ומה רמת ההקלה שהם מספקים?","What medications or painkillers do you take regularly, and how much relief do they provide?"
59,"שיקום וטיפול בכאב","Pain Rehabilitation","therapies_tried","אילו טיפולים ניסית בעבר לבעיה זו (פיזיותרפיה, כירופרקטיקה, הזרקות)?","What treatments have you tried in the past?"
60,"שיקום וטיפול בכאב","Pain Rehabilitation","goal","מהי הפעולה הספציפית שתרצה/י לחזור לעשות ללא כאב?","What is the specific action you would like to return to doing without pain?"
61,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","focus","האם קשה לך להתרכז במשימה אחת לאורך זמן, או שדעתך מוסחת בקלות (תחושת ""ערפל"")?","Is it difficult for you to concentrate on one task for a long time?"
62,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","memory","האם את/ה שם/ה לב לירידה בזיכרון לטווח קצר, או קושי לשלוף מילים?","Do you notice a decline in memory or difficulty retrieving words?"
63,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","decisions","האם את/ה מתקשה לקבל החלטות, ולעיתים קרובות מרגיש/ה ""שיתוק"" מול אפשרויות?","Do you have difficulty making decisions, and often feel paralyzed when facing options?"
64,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","overthinking","האם המחשבות שלך נוטות ""לרוץ במעגלים"" סביב אותו נושא, במיוחד לפני השינה?","Do your thoughts tend to run in circles around the same topic, especially before sleep?"
65,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","burnout","האם את/ה חווה תשישות מנטלית, כאילו המוח ""מלא"" ולא מסוגל לקלוט מידע חדש?","Do you experience mental exhaustion, as if the brain is full and unable to absorb new information?"
66,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","pressure","כיצד את/ה מגיב/ה לדד-ליין או ללחץ? האם את/ה נכנס/ת לחרדה וקיפאון, או פועל/ת?","How do you respond to deadlines or pressure? Do you get anxious and freeze, or take action?"
67,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","motivation","האם יש לך רעיונות ורצונות, אך חסר לך ה""דרייב"" (הכוח המניע) כדי להתחיל ולבצע?","Do you have ideas and desires, but lack the drive to start and execute?"
68,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","creativity","האם את/ה מרגיש/ה חסום/ה יצירתית, ללא השראה או ""זרימה""?","Do you feel creatively blocked, without inspiration or flow?"
69,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","sensitivity","האם את/ה רגיש/ה מאוד לרעשים חזקים, המונים, או למצבי רוח של אנשים אחרים?","Are you very sensitive to loud noises, crowds, or the moods of other people?"
70,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","irritability","האם את/ה מאבד/ת סבלנות מהר או מתרגז/ת בקלות כשדברים לא מסתדרים?","Do you lose patience quickly or get easily irritated when things do not work out?"
71,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","confidence","האם את/ה חווה ספק עצמי לעיתים קרובות, או תחושה שאת/ה ""לא מספיק טוב/ה""?","Do you often experience self-doubt, or a feeling that you are not good enough?"
72,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","clarity","האם בבוקר המוח שלך צלול, או שאת/ה מתעורר/ת עם תחושת כבדות וערפל?","Is your mind clear in the morning, or do you wake up with a feeling of heaviness and fog?"
73,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","adaptability","האם קשה לך להתמודד עם שינויים בלתי צפויים בתוכניות?","Is it difficult for you to cope with unexpected changes in plans?"
74,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","social_battery","האם אינטראקציה חברתית ממושכת מרוקנת אותך מאנרגיה מנטלית?","Does prolonged social interaction drain you of mental energy?"
75,"בהירות וחוסן מנטלי","Mental Clarity & Resilience","goal","מהו הכוח המנטלי שהכי היית רוצה לחזק? (מיקוד, רוגע, זיכרון, או ביטחון עצמי)","What mental strength would you most like to strengthen?"
76,"בקרת אקלים פנימית","Internal Climate Control","1","האם את/ה מרגיש/ה שינויים פיזיים בגוף (כאבי ראש, מפרקים, עייפות) עוד לפני שמזג האוויר משתנה בחוץ?","Do you feel physical changes in your body before the weather changes outside?"
77,"בקרת אקלים פנימית","Internal Climate Control","2","האם את/ה סובל/ת יותר בחום הקיץ או בקור החורף?","Do you suffer more in summer heat or winter cold?"
78,"בקרת אקלים פנימית","Internal Climate Control","3","בימים לחים ודביקים, האם את/ה מרגיש/ה תחושת ""משקולת"" על הגוף, נפיחות או ערפל מחשבתי?","On humid days, do you feel heaviness, bloating, or brain fog?"
79,"בקרת אקלים פנימית","Internal Climate Control","4","האם חשיפה לרוח חזקה או למזגן ישיר גורמת לך לכאבי ראש, צוואר תפוס או צינון מיידי?","Does exposure to strong wind or direct AC cause headaches or stiff neck?"
80,"בקרת אקלים פנימית","Internal Climate Control","5","האם את/ה נוטה לסבול מיובש קיצוני (עור סדוק, צמא תמידי, שיעול יבש) בסביבות ממוזגות?","Do you suffer from extreme dryness in air-conditioned environments?"
81,"בקרת אקלים פנימית","Internal Climate Control","6","האם כאבי הראש שלך מופיעים בעיקר כשחם מאוד או כשיש לחץ ברומטרי נמוך/סופות?","Do your headaches appear mainly in hot weather or during storms?"
82,"בקרת אקלים פנימית","Internal Climate Control","7","האם את/ה חווה קשיי נשימה או החמרה באלרגיות בעונות מעבר?","Do you experience breathing difficulties during seasonal transitions?"
83,"בקרת אקלים פנימית","Internal Climate Control","8","האם המפרקים שלך ""נוקשים"" וכואבים יותר בימים גשומים וקרים?","Are your joints stiffer and more painful on cold, rainy days?"
84,"בקרת אקלים פנימית","Internal Climate Control","9","האם את/ה סובל/ת משלשולים או חוסר נוחות בבטן בקיץ או מכאבי בטן בחורף?","Do you suffer from digestive issues that change with seasons?"
85,"בקרת אקלים פנימית","Internal Climate Control","10","האם העור שלך מגיב בפריחות מגרדות בחום או באקזמה וסדקים בקור?","Does your skin react with rashes in heat or eczema in cold?"
86,"בקרת אקלים פנימית","Internal Climate Control","11","האם את/ה מתקשה להתעורר או לתפקד בימים אפורים וחסרי שמש?","Do you have difficulty functioning on gray, sunless days?"
87,"בקרת אקלים פנימית","Internal Climate Control","12","האם את/ה מרגיש/ה מיובש/ת באופן כרוני למרות שתייה מרובה, או שאת/ה צובר/ת נוזלים בקלות?","Do you feel chronically dehydrated or easily retain fluids?"
88,"בקרת אקלים פנימית","Internal Climate Control","13","האם השינה שלך מופרעת יותר בלילות חמים או שאת/ה מתעורר/ת מקור?","Is your sleep more disturbed on hot nights or do you wake from cold?"
89,"בקרת אקלים פנימית","Internal Climate Control","14","כשאת/ה טס/ה או משנה סביבה גיאוגרפית, האם לוקח לגוף שלך זמן רב ""להתאפס""?","Does it take a long time for your body to adjust to new environments?"
90,"בקרת אקלים פנימית","Internal Climate Control","15","אם הטיפול יכול לעזור לך להתמודד עם עונה אחת בלבד בצורה מושלמת – איזו עונה הכי קשה לך כיום?","Which season is most difficult for you currently?"
91,"חיוניות ואריכות ימים","Vitality & Longevity","1","האם את/ה מרגיש/ה שהאנרגיה שלך נגמרת בשעות הצהריים, או שיש לך כוח יציב לאורך כל היום?","Does your energy run out midday, or do you have stable strength all day?"
92,"חיוניות ואריכות ימים","Vitality & Longevity","2","האם את/ה מתעורר/ת מספר פעמים בלילה, או מתקשה לחזור לישון לפנות בוקר?","Do you wake up multiple times at night or have difficulty returning to sleep?"
93,"חיוניות ואריכות ימים","Vitality & Longevity","3","האם חל שינוי בתחושת הטמפרטורה שלך לאחרונה – גלי חום פתאומיים, או תחושת קור עמוקה?","Have you noticed temperature changes - hot flashes or deep cold?"
94,"חיוניות ואריכות ימים","Vitality & Longevity","4","האם את/ה מרגיש/ה ירידה בחדות הזיכרון לטווח קצר, או קושי לשלוף מילים?","Do you feel a decline in short-term memory or difficulty retrieving words?"
95,"חיוניות ואריכות ימים","Vitality & Longevity","5","כשאת/ה חולה או מבצע/ת מאמץ פיזי, האם לגוף לוקח זמן רב יותר לחזור לעצמו?","Does your body take longer to recover from illness or physical exertion?"
96,"חיוניות ואריכות ימים","Vitality & Longevity","6","האם את/ה סובל/ת מנוקשות בוקר במפרקים שמשתחררת רק אחרי תנועה וחימום?","Do you suffer from morning stiffness in joints that releases after movement?"
97,"חיוניות ואריכות ימים","Vitality & Longevity","7","האם את/ה סובל/ת לעיתים מסחרחורות, טינטון או תחושת ""לחץ"" וכבדות בראש?","Do you sometimes suffer from dizziness, tinnitus, or feeling of pressure in the head?"
98,"חיוניות ואריכות ימים","Vitality & Longevity","8","האם יש תחושת כבדות או נפיחות בבטן גם אחרי ארוחות קטנות וקלות?","Do you feel heaviness or bloating even after small meals?"
99,"חיוניות ואריכות ימים","Vitality & Longevity","9","האם את/ה מרגיש/ה נימול או הירדמות של הגפיים בזמן מנוחה או בשינה?","Do you feel numbness or tingling in limbs during rest or sleep?"
100,"חיוניות ואריכות ימים","Vitality & Longevity","10","האם ישנו כאב קבוע המלווה אותך ומחמיר במזג אוויר קר או לח?","Is there chronic pain that worsens in cold or damp weather?"
101,"חיוניות ואריכות ימים","Vitality & Longevity","11","האם השינויים בחיים (ילדים עוזבים, פרישה) מעוררים בך תחושת חופש ושמחה, או ריקנות וחרדה?","Do life changes evoke feelings of freedom or emptiness and anxiety?"
102,"חיוניות ואריכות ימים","Vitality & Longevity","12","האם את/ה מוצא/ת את עצמך חסר/ת סבלנות או נוטה למצבי רוח דכדוכיים?","Do you find yourself more impatient or prone to depressive moods?"
103,"חיוניות ואריכות ימים","Vitality & Longevity","13","האם את/ה נוטל/ת מספר תרופות מרשם באופן קבוע?","Do you take multiple prescription medications regularly?"
104,"חיוניות ואריכות ימים","Vitality & Longevity","14","האם את/ה סובל/ת מיובש טורדני – בעיניים, בפה, בעור או בריריות?","Do you suffer from bothersome dryness in eyes, mouth, skin, or mucous membranes?"
105,"חיוניות ואריכות ימים","Vitality & Longevity","15","מהו הדבר האחד שתרצה/י להמשיך לעשות ב-10 השנים הבאות ללא הגבלה?","What is the one thing you want to continue doing in the next 10 years without limitation?"
106,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","illness_frequency","באיזו תדירות את/ה חולה במהלך השנה? האם את/ה מרגיש/ה שאת/ה ""תופס/ת"" כל וירוס?","How often do you get sick during the year?"
107,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","response_to_symptoms","כשאת/ה מרגיש/ה סימנים ראשונים של מחלה, האם את/ה עוצר/ת ונח/ה, או ממשיך/ה בשגרה?","When you feel first signs of illness, do you rest or continue as usual?"
108,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","recovery_speed","כאשר את/ה חולה, כמה זמן לוקח לך להחלים לחלוטין ולחזור לאנרגיה מלאה?","When sick, how long does it take you to fully recover?"
109,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","exposure","האם את/ה חשוף/ה באופן קבוע לאנשים חולים (עבודה בבית ספר, בית חולים)?","Are you regularly exposed to sick people?"
110,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","temperature","האם את/ה נוטה לסבול מקור, במיוחד בידיים וברגליים, או צמרמורות בקלות?","Do you tend to suffer from cold, especially in hands and feet?"
