מספר שורה,קטגוריה,קטגוריה (אנגלית),מזהה שאלה,שאלה בעברית,שאלה באנגלית
111,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","sleep_immunity","האם את/ה שם/ה לב שחוסר שינה או תקופות עמוסות מובילים כמעט מייד למחלה?","Do you notice that lack of sleep leads almost immediately to illness?"
112,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","exercise","האם את/ה נוטה לחזור לפעילות גופנית מאומצת מיד כשאת/ה מרגיש/ה מעט יותר טוב?","Do you return to strenuous exercise immediately when feeling better?"
113,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","morning_symptoms","האם את/ה מתעורר/ת בבוקר עם גודש באף, ליחה בגרון או התעטשויות?","Do you wake up with nasal congestion, phlegm, or sneezing?"
114,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","digestion","האם שינויים בתזונה (סוכר או מוצרי חלב) משפיעים לרעה על מערכת הנשימה שלך?","Do dietary changes negatively affect your respiratory system?"
115,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","stress_pattern","האם את/ה חולה לעיתים קרובות דווקא בסופי שבוע או בחופשות (כשמפלס הלחץ יורד)?","Do you often get sick on weekends or vacations?"
116,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","chronic_cough","האם יש לך נטייה לשיעול מתמשך שנשאר שבועות אחרי שהצינון חלף?","Do you tend to have a persistent cough after a cold?"
117,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","household","האם יש ילדים קטנים בבית ש""מביאים"" וירוסים מהגן/בית ספר באופן קבוע?","Are there young children at home who bring viruses regularly?"
118,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","hydration","האם את/ה מקפיד/ה על שתייה מספקת במהלך היום, או שאת/ה נוטה לשכוח לשתות?","Do you make sure to drink enough during the day?"
119,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","seasons","האם יש עונה מסוימת בשנה שבה הבריאות שלך תמיד מתערערת?","Is there a specific season when your health always deteriorates?"
120,"חוסן חיסוני והתאוששות","Immune Shield & Recovery","goal","מהי המטרה העיקרית שלך בחיזוק המערכת החיסונית?","What is your main goal in strengthening your immune system?"
121,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","challenge","במשפט אחד, מהו האתגר התזונתי הגדול ביותר שלך כיום?","What is your biggest nutritional challenge today?"
122,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","breakfast","האם את/ה אוכל/ת ארוחת בוקר? אם כן, האם היא חמה או קרה?","Do you eat breakfast? Is it warm or cold?"
123,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","timing","האם את/ה נוהג/ת לאכול ארוחות כבדות בשעות המאוחרות של הלילה?","Do you tend to eat heavy meals late at night?"
124,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","temperature","מהי העדפת המזון שלך? מזון נא/קר או מזון מבושל וחם?","Do you mainly eat raw/cold food or cooked and warm food?"
125,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","energy_drop","האם את/ה מרגיש/ה ""צניחת אנרגיה"" וצורך לישון מיד לאחר האוכל?","Do you feel an energy drop and need to sleep immediately after eating?"
126,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","bloating","האם את/ה סובל/ת מנפיחות בבטן, גזים או תחושת ""בלון"" שמתגברת במהלך היום?","Do you suffer from bloating that intensifies during the day?"
127,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","hydration","האם את/ה מעדיף/ה לשתות מים קפואים/קרים מאוד, או משקאות חמים/פושרים?","Do you prefer icy water or warm/lukewarm drinks?"
128,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","sweet_cravings","האם יש לך צורך עז במתוקים או בפחמימות, במיוחד בשעות אחר הצהריים?","Do you have strong cravings for sweets or carbohydrates?"
129,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","salt_spice","האם את/ה מוצא/ת את עצמך ממליח/ה את האוכל בצורה מוגזמת, או מחפש/ת טעמים חריפים?","Do you over-salt food or seek spicy flavors?"
130,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","dairy","האם צריכת מוצרי חלב גורמת לך לליחה, נזלת או אי-נוחות בבטן?","Does dairy consumption cause mucus or abdominal discomfort?"
131,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","raw_veg","האם אכילת סלט גדול או ירקות חיים גורמת לך לכאבי בטן או ליציאות רכות?","Does eating raw vegetables cause stomach pain or loose stools?"
132,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","appetite","האם את/ה חווה רעב תמידי שלא יודע שובע, או חוסר תיאבון מוחלט?","Do you experience constant hunger or complete lack of appetite?"
133,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","emotions","האם את/ה נוטה לפנות לאוכל מנחם בזמנים של מתח, עצב או שעמום?","Do you turn to comfort eating during stress or boredom?"
134,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","caffeine","כמה כוסות קפה את/ה שותה ביום? האם את/ה מרגיש/ה שבלעדיו המערכת לא מתפקדת?","How many cups of coffee do you drink? Do you feel you can't function without it?"
135,"הזנת החיים (תזונה)","Nourishing Life (Nutrition)","one_change","אם היית יכול/ה לשנות הרגל תזונתי אחד בלבד שישפר את בריאותך, מה הוא היה?","If you could change one nutritional habit, what would it be?"
136,"תסמונות זאנג-פו","Zang Fu Syndromes","kidney_yang_etiology","מהי האטיולוגיה המרכזית לחוסר יאנג בכליות?","What is the main etiology of Kidney Yang Deficiency?"
137,"תסמונות זאנג-פו","Zang Fu Syndromes","spleen_qi_vs_yang","אילו סימפטומים מבדילים בין חוסר צ'י בטחול לבין חוסר יאנג בטחול?","What symptoms differentiate Spleen Qi Deficiency from Spleen Yang Deficiency?"
138,"תסמונות זאנג-פו","Zang Fu Syndromes","liver_qi_fire","מהו עקרון הטיפול המדויק לסטגנציה של צ'י הכבד שהפכה לאש?","What is the treatment principle for Liver Qi Stagnation transformed into Fire?"
139,"תסמונות זאנג-פו","Zang Fu Syndromes","tinnitus_pattern","האם טיניטוס המופיע בקובץ שייך לסינדרום עודף או חוסר?","Does tinnitus belong to an Excess or Deficiency syndrome?"
140,"תסמונות זאנג-פו","Zang Fu Syndromes","heart_blood_sleep","מה הקשר בין ""חוסר דם בלב"" לבין הפרעות שינה?","What is the connection between Heart Blood Deficiency and sleep disorders?"
141,"תסמונות זאנג-פו","Zang Fu Syndromes","damp_heat_lower","כיצד מתבטא ""חום ולחות במחמם התחתון"" אצל גברים לעומת נשים?","How does Damp-Heat in Lower Jiao manifest in men vs women?"
142,"תסמונות זאנג-פו","Zang Fu Syndromes","liver_wind_signs","מנה שלושה סימני מפתח לזיהוי ""רוח פנימית של הכבד"".","List three key signs for identifying Internal Liver Wind."
143,"תסמונות זאנג-פו","Zang Fu Syndromes","phlegm_mist_vs_fire","מה ההבדל באבחנה בין ליחה-אל-חומרית לבין ליחה-אש בלב?","What is the diagnostic difference between Phlegm-Mist and Phlegm-Fire in Heart?"
144,"תסמונות זאנג-פו","Zang Fu Syndromes","worry_organs","כיצד משפיע רגש ה""דאגה"" על הטחול והריאות?","How does Worry affect the Spleen and Lungs?"
145,"תסמונות זאנג-פו","Zang Fu Syndromes","sp_not_holding_blood","מהם הסימפטומים של ""טחול אינו שולט בדם""?","What are symptoms of ""Spleen Not Controlling Blood""?"
146,"תסמונות זאנג-פו","Zang Fu Syndromes","lu_yin_def_vs_dryness","מה ההבדל בין חוסר יין בריאות לבין יובש בריאות?","What is the difference between Lung Yin Deficiency and Lung Dryness?"
147,"תסמונות זאנג-פו","Zang Fu Syndromes","kid_yin_yang_relation","מהו הקשר בין חוסר יין בכליות לחוסר יאנג בכליות?","What is the relationship between Kidney Yin and Yang Deficiency?"
148,"תסמונות זאנג-פו","Zang Fu Syndromes","bl_stasis_signs","מהם הסימנים הקלאסיים של סטגנציית דם?","What are classic signs of Blood Stasis?"
149,"תסמונות זאנג-פו","Zang Fu Syndromes","cold_in_uterus","כיצד מתבטא ""קור ברחם"" ומה הנקודות המרכזיות לטיפול?","How does Cold in Uterus manifest and what are key treatment points?"
150,"תסמונות זאנג-פו","Zang Fu Syndromes","shen_disturbance","מהם הסימנים של הפרעה ב-Shen וכיצד מאבחנים את הדפוס?","What are signs of Shen disturbance and how to diagnose the pattern?"
151,"נקודות דיקור","Acupuncture Points","1","מהם המאפיינים המיוחדים של נקודות Yuan (מקור)?","What are special characteristics of Yuan (Source) points?"
152,"נקודות דיקור","Acupuncture Points","2","כיצד משתמשים בנקודות Luo (מחברות)?","How to use Luo (Connecting) points?"
153,"נקודות דיקור","Acupuncture Points","3","מהו תפקיד נקודות Xi-Cleft?","What is the function of Xi-Cleft points?"
154,"נקודות דיקור","Acupuncture Points","4","כיצד נקודות Shu (גב) משמשות לאבחון וטיפול?","How are Back Shu points used for diagnosis and treatment?"
155,"נקודות דיקור","Acupuncture Points","5","מהן נקודות Mu (קדמיות) וכיצד משתמשים בהן?","What are Front Mu points and how to use them?"
156,"נקודות דיקור","Acupuncture Points","6","מהם עקרונות בחירת הנקודות המרוחקות?","What are principles for choosing distal points?"
157,"נקודות דיקור","Acupuncture Points","7","כיצד משלבים נקודות מקומיות עם נקודות מרוחקות?","How to combine local with distal points?"
158,"נקודות דיקור","Acupuncture Points","8","מהן נקודות Hui (השפעה) ולמה הן משמשות?","What are Hui (Influential) points and what are they used for?"
159,"נקודות דיקור","Acupuncture Points","9","כיצד נקודות Jing-Well משמשות במצבי חירום?","How are Jing-Well points used in emergencies?"
160,"נקודות דיקור","Acupuncture Points","10","מהו הקשר בין נקודות Five Elements לטיפול?","What is the relationship between Five Element points and treatment?"
161,"נקודות דיקור","Acupuncture Points","11","כיצד בוחרים נקודות לפי שעון האיברים?","How to choose points according to organ clock?"
162,"נקודות דיקור","Acupuncture Points","12","מהן נקודות Windows of Heaven?","What are Windows of Heaven points?"
163,"נקודות דיקור","Acupuncture Points","13","כיצד נקודות Shen משפיעות על הרוח?","How do Shen points affect the spirit?"
164,"נקודות דיקור","Acupuncture Points","14","מהן הנקודות לטיפול בדם?","What are points for treating Blood?"
165,"נקודות דיקור","Acupuncture Points","15","כיצד משתמשים בנקודות לפי עונות השנה?","How to use points according to seasons?"
166,"ארבע הבדיקות","Four Examinations","1","מהם ארבעת שלבי הבדיקה ברפואה הסינית?","What are the four examination stages in Chinese Medicine?"
167,"ארבע הבדיקות","Four Examinations","2","כיצד מפרשים את גוון הפנים?","How to interpret facial complexion?"
168,"ארבע הבדיקות","Four Examinations","3","מהם הסימנים החזותיים של חוסר דם?","What are visual signs of Blood deficiency?"
169,"ארבע הבדיקות","Four Examinations","4","כיצד מאבחנים לפי הקול?","How to diagnose by voice?"
170,"ארבע הבדיקות","Four Examinations","5","מהי החשיבות של ריח הגוף באבחון?","What is the importance of body odor in diagnosis?"
171,"ארבע הבדיקות","Four Examinations","6","כיצד שואלים על שינה באנמנזה?","How to ask about sleep in patient history?"
172,"ארבע הבדיקות","Four Examinations","7","מהם שאלות המפתח על העיכול?","What are key questions about digestion?"
173,"ארבע הבדיקות","Four Examinations","8","כיצד מפרשים העדפות טמפרטורה?","How to interpret temperature preferences?"
174,"ארבע הבדיקות","Four Examinations","9","מהי החשיבות של שאלות על צמא ושתייה?","What is importance of questions about thirst and drinking?"
175,"ארבע הבדיקות","Four Examinations","10","כיצד מאבחנים לפי מישוש הבטן?","How to diagnose by abdominal palpation?"
176,"ארבע הבדיקות","Four Examinations","11","מהם הסימנים של חום לעומת קור?","What are signs of Heat versus Cold?"
177,"ארבע הבדיקות","Four Examinations","12","כיצד מזהים דפוסי עודף לעומת חוסר?","How to identify Excess versus Deficiency patterns?"
178,"ארבע הבדיקות","Four Examinations","13","מהי החשיבות של שאלות על הזעה?","What is importance of questions about sweating?"
179,"ארבע הבדיקות","Four Examinations","14","כיצד מפרשים כאבים ותחושות?","How to interpret pain and sensations?"
180,"ארבע הבדיקות","Four Examinations","15","מהם הסימנים של לחות בגוף?","What are signs of Dampness in the body?"
181,"בריאות האישה","Women's Health","1","כיצד מאבחנים דפוסי אי-פוריות ב-TCM?","How to diagnose infertility patterns in TCM?"
182,"בריאות האישה","Women's Health","2","מהו הטיפול בכאבי מחזור (דיסמנוריאה)?","What is treatment for menstrual pain (dysmenorrhea)?"
183,"בריאות האישה","Women's Health","3","כיצד מטפלים ב-PMS?","How to treat PMS?"
184,"בריאות האישה","Women's Health","4","מהם הדפוסים השכיחים בהפסקת מחזור?","What are common patterns in amenorrhea?"
185,"בריאות האישה","Women's Health","5","כיצד מטפלים בדימום רב במחזור (מנורגיה)?","How to treat heavy menstrual bleeding (menorrhagia)?"
186,"בריאות האישה","Women's Health","6","מהם הנקודות החשובות לפוריות?","What are important points for fertility?"
187,"בריאות האישה","Women's Health","7","כיצד מטפלים בציסטות שחלתיות?","How to treat ovarian cysts?"
188,"בריאות האישה","Women's Health","8","מהו הטיפול באנדומטריוזיס?","What is treatment for endometriosis?"
189,"בריאות האישה","Women's Health","9","כיצד מלווים הריון בטיפול?","How to support pregnancy with treatment?"
190,"בריאות האישה","Women's Health","10","מהם הנקודות האסורות בהריון?","What are forbidden points during pregnancy?"
191,"בריאות האישה","Women's Health","11","כיצד מטפלים בבחילות הריון?","How to treat pregnancy nausea?"
192,"בריאות האישה","Women's Health","12","מהו הטיפול בתסמונת המעבר (מנופאוזה)?","What is treatment for menopause syndrome?"
193,"בריאות האישה","Women's Health","13","כיצד מטפלים בגלי חום?","How to treat hot flashes?"
194,"בריאות האישה","Women's Health","14","מהי חשיבות הדם והכבד לבריאות האישה?","What is importance of Blood and Liver for women's health?"
195,"בריאות האישה","Women's Health","15","כיצד מטפלים במסה בשד לפי TCM?","How to treat breast masses according to TCM?"
196,"רפואה סינית לילדים","Pediatric TCM","1","מהם המאפיינים הייחודיים של פיזיולוגיית הילד ב-TCM?","What are unique characteristics of child physiology in TCM?"
197,"רפואה סינית לילדים","Pediatric TCM","2","כיצד מאבחנים ילדים שלא יכולים לתאר תסמינים?","How to diagnose children who cannot describe symptoms?"
198,"רפואה סינית לילדים","Pediatric TCM","3","מהו הטיפול בשיעול כרוני אצל ילדים?","What is the treatment for chronic cough in children?"
199,"רפואה סינית לילדים","Pediatric TCM","4","כיצד מטפלים בבעיות עיכול שכיחות בילדות?","How to treat common digestive issues in childhood?"
200,"רפואה סינית לילדים","Pediatric TCM","5","מהם הסימנים של חום מזון אצל תינוקות?","What are signs of Food Heat in infants?"
201,"רפואה סינית לילדים","Pediatric TCM","6","כיצד Tuina (עיסוי סיני) מתאים לילדים?","How is Tuina adapted for children?"
202,"רפואה סינית לילדים","Pediatric TCM","7","מהו הטיפול בהרטבת לילה (Enuresis)?","What is the treatment for bedwetting (Enuresis)?"
203,"רפואה סינית לילדים","Pediatric TCM","8","כיצד מחזקים את החסינות של ילדים שחולים תכופות?","How to strengthen immunity of frequently ill children?"
204,"רפואה סינית לילדים","Pediatric TCM","9","מהם הנקודות הבטוחות לדיקור בילדים?","What are safe acupuncture points for children?"
205,"רפואה סינית לילדים","Pediatric TCM","10","כיצד מטפלים באלרגיות עונתיות אצל ילדים?","How to treat seasonal allergies in children?"
206,"רפואה סינית לילדים","Pediatric TCM","11","מהו הטיפול בהפרעות קשב וריכוז (ADHD)?","What is the treatment for ADHD?"
207,"רפואה סינית לילדים","Pediatric TCM","12","כיצד מזהים חולשת טחול אצל ילדים?","How to identify Spleen weakness in children?"
208,"רפואה סינית לילדים","Pediatric TCM","13","מהם המזונות המומלצים לחיזוק ילדים?","What foods are recommended for strengthening children?"
209,"רפואה סינית לילדים","Pediatric TCM","14","כיצד מטפלים בחרדה ופחדים בילדות?","How to treat anxiety and fears in childhood?"
210,"רפואה סינית לילדים","Pediatric TCM","15","מהי גישת TCM לבעיות שינה אצל ילדים?","What is TCM approach to sleep problems in children?"
211,"רפואה סינית לקשישים","Geriatric TCM","1","מהם השינויים הפיזיולוגיים העיקריים בהזדקנות לפי TCM?","What are main physiological changes in aging according to TCM?"
212,"רפואה סינית לקשישים","Geriatric TCM","2","כיצד מטפלים בדמנציה ואובדן זיכרון?","How to treat dementia and memory loss?"
213,"רפואה סינית לקשישים","Geriatric TCM","3","מהו הטיפול באוסטאופורוזיס מנקודת מבט TCM?","What is the TCM approach to osteoporosis?"
214,"רפואה סינית לקשישים","Geriatric TCM","4","כיצד מחזקים את הכליות לאריכות ימים?","How to strengthen Kidneys for longevity?"
215,"רפואה סינית לקשישים","Geriatric TCM","5","מהם הסימנים של דלדול ה-Jing וכיצד מאטים אותו?","What are signs of Jing depletion and how to slow it?"
216,"רפואה סינית לקשישים","Geriatric TCM","6","כיצד מטפלים בנוקשות מפרקים בגיל מבוגר?","How to treat joint stiffness in old age?"
217,"רפואה סינית לקשישים","Geriatric TCM","7","מהו הטיפול בעצירות כרונית אצל קשישים?","What is the treatment for chronic constipation in elderly?"
218,"רפואה סינית לקשישים","Geriatric TCM","8","כיצד מאזנים טיפול בתרופות מרובות (פוליפארמקולוגיה)?","How to balance treatment with polypharmacy?"
219,"רפואה סינית לקשישים","Geriatric TCM","9","מהם הנקודות החשובות לשיפור הזרימה הדמית?","What are important points for improving blood flow?"
220,"רפואה סינית לקשישים","Geriatric TCM","10","כיצד מטפלים בסחרחורת וחוסר יציבות?","How to treat dizziness and instability?"
221,"רפואה סינית לקשישים","Geriatric TCM","11","מהו הטיפול בבעיות שתן שכיחות בגיל מבוגר?","What is treatment for common urinary issues in elderly?"
222,"רפואה סינית לקשישים","Geriatric TCM","12","כיצד משמרים את כוח הראייה והשמיעה?","How to preserve vision and hearing strength?"
223,"רפואה סינית לקשישים","Geriatric TCM","13","מהם המזונות התומכים בבריאות הקשיש?","What foods support elderly health?"
224,"רפואה סינית לקשישים","Geriatric TCM","14","כיצד מטפלים בדיכאון וחרדה בגיל מבוגר?","How to treat depression and anxiety in old age?"
225,"רפואה סינית לקשישים","Geriatric TCM","15","מהי גישת TCM למניעת נפילות?","What is TCM approach to fall prevention?"
226,"בריאות רגשית","Emotional Health","1","מהם שבעת הרגשות ברפואה הסינית וכיצד הם משפיעים על האיברים?","What are the Seven Emotions and how do they affect organs?"
227,"בריאות רגשית","Emotional Health","2","כיצד כעס ותסכול פוגעים בכבד?","How do anger and frustration damage the Liver?"
228,"בריאות רגשית","Emotional Health","3","מהו הטיפול בחרדה כרונית מנקודת מבט TCM?","What is TCM treatment for chronic anxiety?"
229,"בריאות רגשית","Emotional Health","4","כיצד אבל וצער משפיעים על הריאות?","How do grief and sadness affect the Lungs?"
230,"בריאות רגשית","Emotional Health","5","מהי הגישה לטיפול בדיכאון ב-TCM?","What is the TCM approach to treating depression?"
231,"בריאות רגשית","Emotional Health","6","כיצד פחד משפיע על הכליות ועל אנרגיית הגוף?","How does fear affect Kidneys and body energy?"
232,"בריאות רגשית","Emotional Health","7","מהם הנקודות להרגעת הנפש (Shen)?","What are points for calming the Shen?"
233,"בריאות רגשית","Emotional Health","8","כיצד מטפלים בנדודי שינה מרקע רגשי?","How to treat insomnia from emotional background?"
234,"בריאות רגשית","Emotional Health","9","מהו הקשר בין דאגה יתרה לבעיות עיכול?","What is the connection between worry and digestion?"
235,"בריאות רגשית","Emotional Health","10","כיצד טראומה רגשית נשמרת בגוף לפי TCM?","How is emotional trauma stored in the body according to TCM?"
236,"בריאות רגשית","Emotional Health","11","מהו הטיפול בהתקפי פאניקה?","What is the treatment for panic attacks?"
237,"בריאות רגשית","Emotional Health","12","כיצד שמחה יתרה יכולה לפגוע בלב?","How can excessive joy damage the Heart?"
238,"בריאות רגשית","Emotional Health","13","מהם הנקודות לשחרור רגשות כבושים?","What are points for releasing suppressed emotions?"
239,"בריאות רגשית","Emotional Health","14","כיצד מאזנים בין עבודה רגשית לטיפול פיזי?","How to balance emotional work with physical treatment?"
240,"בריאות רגשית","Emotional Health","15","מהי חשיבות ה-Hun וה-Po לבריאות רגשית?","What is the importance of Hun and Po for emotional health?"
241,"הפרעות שינה","Sleep Disorders","1","מהי הפתופיזיולוגיה של נדודי שינה ב-TCM?","What is the pathophysiology of insomnia in TCM?"
242,"הפרעות שינה","Sleep Disorders","2","כיצד מבחינים בין סוגי נדודי שינה שונים?","How to distinguish between different types of insomnia?"
243,"הפרעות שינה","Sleep Disorders","3","מהו הטיפול בקושי להירדם לעומת התעוררויות ליליות?","What is treatment for difficulty falling vs staying asleep?"
244,"הפרעות שינה","Sleep Disorders","4","כיצד חוסר דם בלב משפיע על השינה?","How does Heart Blood deficiency affect sleep?"
245,"הפרעות שינה","Sleep Disorders","5","מהם הסימנים של אש בלב הגורמת לנדודי שינה?","What are signs of Heart Fire causing insomnia?"
246,"הפרעות שינה","Sleep Disorders","6","כיצד מטפלים בחלומות מטרידים וסיוטים?","How to treat disturbing dreams and nightmares?"
247,"הפרעות שינה","Sleep Disorders","7","מהן הנקודות היעילות ביותר לשיפור איכות השינה?","What are the most effective points for improving sleep quality?"
248,"הפרעות שינה","Sleep Disorders","8","כיצד דאגה יתרה פוגעת בשינה?","How does excessive worry affect sleep?"
249,"הפרעות שינה","Sleep Disorders","9","מהו הטיפול בעייפות כרונית למרות שינה ארוכה?","What is treatment for chronic fatigue despite long sleep?"
250,"הפרעות שינה","Sleep Disorders","10","כיצד מטפלים בדום נשימה בשינה (Sleep Apnea)?","How to treat Sleep Apnea?"
251,"הפרעות שינה","Sleep Disorders","11","מהי חשיבות שעות השינה לפי שעון האיברים?","What is the importance of sleep hours according to organ clock?"
252,"הפרעות שינה","Sleep Disorders","12","כיצד התזונה משפיעה על איכות השינה?","How does diet affect sleep quality?"
253,"הפרעות שינה","Sleep Disorders","13","מהם הצמחים המסייעים לשינה ב-TCM?","What herbs help with sleep in TCM?"
254,"הפרעות שינה","Sleep Disorders","14","כיצד מטפלים בהתעוררות בשעה קבועה כל לילה?","How to treat waking at the same time every night?"
255,"הפרעות שינה","Sleep Disorders","15","מהי הגישה לטיפול בג'ט לאג מנקודת מבט TCM?","What is TCM approach to treating jet lag?"
256,"בריאות מערכת העיכול","Digestive Health","1","מהו תפקיד הטחול ב""טרנספורמציה וטרנספורט""?","What is the Spleen's role in Transformation and Transportation?"
257,"בריאות מערכת העיכול","Digestive Health","2","כיצד מאבחנים חולשת טחול?","How to diagnose Spleen weakness?"
258,"בריאות מערכת העיכול","Digestive Health","3","מהו הטיפול בנפיחות וגזים כרוניים?","What is the treatment for chronic bloating and gas?"
259,"בריאות מערכת העיכול","Digestive Health","4","כיצד מטפלים ב-IBS (תסמונת המעי הרגיז)?","How to treat IBS (Irritable Bowel Syndrome)?"
260,"בריאות מערכת העיכול","Digestive Health","5","מהם הסימנים של לחות בטחול?","What are signs of Dampness in Spleen?"
261,"בריאות מערכת העיכול","Digestive Health","6","כיצד סטגנציה של צ'י הכבד משפיעה על העיכול?","How does Liver Qi stagnation affect digestion?"
262,"בריאות מערכת העיכול","Digestive Health","7","מהו הטיפול בצרבת וריפלוקס חומצי?","What is treatment for heartburn and acid reflux?"
263,"בריאות מערכת העיכול","Digestive Health","8","כיצד מטפלים בעצירות כרונית לפי הדפוס?","How to treat chronic constipation according to pattern?"
264,"בריאות מערכת העיכול","Digestive Health","9","מהם הסימנים של חום בקיבה?","What are signs of Stomach Heat?"
265,"בריאות מערכת העיכול","Digestive Health","10","כיצד מטפלים בשלשולים חוזרים?","How to treat recurrent diarrhea?"
266,"בריאות מערכת העיכול","Digestive Health","11","מהי חשיבות ארוחת הבוקר לפי TCM?","What is the importance of breakfast according to TCM?"
267,"בריאות מערכת העיכול","Digestive Health","12","כיצד מזונות קרים ונאים פוגעים בעיכול?","How do cold and raw foods harm digestion?"
268,"בריאות מערכת העיכול","Digestive Health","13","מהם הנקודות החשובות לחיזוק הטחול?","What are important points for strengthening Spleen?"
