id,point_code,chinese_pinyin_hebrew,english_name_hebrew,etymology_hebrew,description_hebrew,location_hebrew,needling_hebrew,functions_hebrew,secondary_functions_hebrew,cautions_hebrew,notes_hebrew
105,Bl1,JING MING - גִ'ינג מִינג,Bright Eyes - עֵינַיִם בְּהִירוֹת,"מִינג הוא התייחסות לעיניים, שהן ייצוג מיקרוקוסמי של רִי שמש ויוּאֶה ירח. השמש והירח נקראים הֶה - 2 העיניים של שמיים וארץ. כאשר חמשת איברי היין פורחים, העיניים יהיו בהירות כמו השמש והירח.","גִ'ינג פירושו עיניים, מִינג פירושו בהיר.",1 פֶן מהפינה המדיאלית של העין.,"ניצב, המטופל צריך לעצום את עיניו, לדחוף בעדינות את גלגל העין הצידה, להחדיר את המחט לאט תוך גרימת זעזוע מינימלי למטופל, בין המסלול (ארובת העין) לאף, לעומק של 0.5 צון.",1. נקודת ריכוז של טאי יאנג. 2. מפגש של TH GB GV ST SI. 3. מגרש חום מקומי ורוח מקומית. 4. מנקה חסימות במרידיאן.,1. מטפל בעור יבש בכל חלקי הגוף. 2. מטפל בכאב ודלקת בעיניים.,יש לנקוט משנה זהירות בעת הדיקור באזור זה. יש להיזהר שלא לפגוע בעין.,יש לבצע את הדיקור בזהירות רבה ובמיומנות על מנת למנוע נזק.
106,Bl2,ZAN ZHU - זַאן ג'וּ,Bamboo Gathering - איסוף במבוק,הגבה דומה לבמבוק. האספקט המדיאלי של הגבה בו ממוקמת נקודת BL-2 הוא העלה.,"Zan פירושו לשמור או לאסוף, Zhu פירושו במבוק.","ישירות מעל הפינה הפנימית של הקנתוס הפנימי של העין, קרוב לקצה המדיאלי של הגבה, היכן שמורגש חריץ קטן.",החדרה אנכית של 0.2-0.5 צון לאורך הגבה לכיוון BL1.,1. מרגיעה את הכבד (LIV) על ידי פתיחת סטגנציה בשלפוחית השתן (BL). 2. מרגיעה רוח שתוקפת את הפנים והראש. 3. מבהירה את העיניים על ידי קירור והורדת חום.,1. מטפלת בכאבי ראש פרונטליים וכאבי עיניים. 2. מנקה חסימות במרידיאן. 3. מנקה את הסינוסים.,יש לנקוט זהירות בחדירה עמוקה כדי להימנע מפגיעה בעין.,נקודה זו נמצאת בשימוש נפוץ לטיפול בבעיות עיניים שונות וכאבי ראש.
107,Bl3,MEI CHONG - מֵי צ'וֹנג,Eyebrows Ascension - הַרְמַת הַגַּבּוֹת,"אחת המשמעויות של צ'וֹנג היא לעלות. BL3 ממוקמת ישירות מעל הגבות, 0.5 צון מאחורי קו השיער. מֵי צ'וֹנג מתארת את עליית ה-צִ'י מהגבות לנקודה זו.","מֵי פירושו גבה, צ'וֹנג פירושו לשטוף או לשנות.",3.5 צון ישירות מעל BL2 והגלבלה (Glabella).,אלכסונית (שטוחה) 0.3-0.5 צון.,1. שולחת צִ'י למטה. 2. שולחת צִ'י מקרר ומרגיע אל ה-Zang + Fu דרך נקודות ה-Shu. 3. מרגיעה את ה-SHEN. 4. מקררת את הגוף.,"1. מרגיעה את הגוף במקרים של מתח, פחד ועצבנות. 2. מעלה נוזלים לראש.",,
114,Bl10,TIAN ZHU - טְיֶאן ג'וּ,Celestial Pillar - עמוד השמיים,"Tian – שמיים, Zhu – עמוד. שני ראשי שריר הטרפז הם כמו שני עמודים התומכים בראש (שמיים). BL10 ממוקמת על עמודים אלה. עמודים הם גם התייחסות לחוליות עמוד השדרה שבעת העתיקה נקראו “Tian Zhu”.","Tian – שמיים, Zhu – עמוד. שני ראשי שריר הטרפז הם כמו שני עמודים התומכים בראש (שמיים). BL10 ממוקמת על עמודים אלה. עמודים הם גם התייחסות לחוליות עמוד השדרה שבעת העתיקה נקראו “Tian Zhu”.","1.3 צון לטרלית ל-GV15, בצדדים הצידיים של הטרפזיוס, בגובה הגבול התחתון של הזיז הספינלי של C-1.",ניצב 0.5-1 צון,1. נקודת חלון השמיים (מחזקת נקודות שו). 2. מפגש של הסטות של שלפוחית/כליה. 3. מחזקת את הגב התחתון. 4. מפזרת רוח שתוקפת את פלג הגוף העליון. 5. ים האנרגיה - ממלאת את אנרגיית הגוף.,7. מקדמת יצירת דם (באמצעות הקשר שלה למח העצם/המוגלובין וכליה). 8. מאזנת בין שלושת המחממים על ידי הנמכת צ'י שמימי דרך נקודות השו. 9. בונה יאנג ובכך בונה יין. 10. מרגיעה ומאזנת את השן וההון. 11. פותחת חסימות במרידיאן. 12. מועילה לראייה.,אין מידע.,"Nei Ching – 33: ""חלק מקבוצת הנקודות המווסתות צ'י באופן כללי יחד עם CV17 ו-ST9"". Nei Ching – 26: ""למיגרנות המתפתחות מחסימה של צ'י שהופכות לכאבי צוואר ויורדות במורד עמוד השדרה לכליה, לדקור BL10 ואז לאזן את הצ'י במרידיאן שלפוחית השתן"". Nei Ching – 28: ""נקודה חשובה לבכי ונזלת."" לדברי Nei Ching ""הלב הוא האדון של איברי ה-ZANG וה-FU בעיניים יש נקודת חיבור של המרידיאנים הקדומים ושל ה-Yin וה-Yang Qiao. הנוזלים האורגניים עולים דרך נתיב זה. הפה והאף מייצגים את הפתיחה של צ'י"". Nei Ching – 34: ""במחלות ראש הנגרמות מהפרעה בזרימת ה-Wei וה-Ying CHI (Ying CHI באזורים היאנגיים יותר הופך ליין בעוד Wei CHI באזורים היין יותר הופך ליאנג) לדקור BL10 ו-BL11. אם אין התקדמות לדקור את נקודות ה-Ying - אביב ושו – זרם שלפוחית השתן (BL65 ו-BL66)"". כאשר המטופל סובל מעצבנות ודאגה הלב נמצא במצב בעייתי. זה מוביל לתפקודים של Zang Fu שהופכים לפגומים, כתוצאה מכך התפקוד של Yin/Yang Chiao יתדרדר במקרה זה לדקור BL10. אם אין מספיק דמעות לדקור BL10. על מנת להבין את השפעת הטיפול יש להבין כיצד צ'י זורם בגוף."
115,Bl11,דָה שוּ (Dà Shū),הסעה גדולה (Ha's'aa Gedola),"דָה (Dà) – גדול, עצום; שוּ (Shū) – מעבורת, הסעה. בסין העתיקה, חוליות עמוד השדרה נקראו ג'ו גוּ, ""עצמות מכשול גדולות"". שם הנקודה נובע מהעובדה שהרווח בין C7 ל-T1 גדול יחסית.","דָה שוּ היא נקודת דיקור הממוקמת על הגב, והיא נקודת מפגש חשובה המשפיעה על העצמות, הדם והיאנג בגוף.",1.5 צוּן לטרלית לקו האמצע האחורי של T1 (L.B.S.P).,"באלכסון לכיוון עמוד השדרה, 0.3-0.5 צוּן.","1. נקודת מפגש (Hui) של העצמות.
2. ים הדם.
3. מקבלת ענף מ-GV, SI, TW ו-GB.
4. מפגש עם המעי הדק.
5. מסלקת רוח שתוקפת את החלק העליון של הגוף.
6. מפזרת עודף יאנג בכל הגוף.","מזינה דם.
מחזקת את העצמות.
מחזקת את עמוד השדרה.
יחד עם BL12, BL13 ו-BL15 לקידום הרפיה בנשים שאינן מצליחות להתמודד עם בעיות.
נֵאי צִ'ינג (Nei Ching):
נֵאי צִ'ינג – 75: ""כאשר היאנג מלא והיין ריק בו זמנית, הנקבוביות ייסגרו והזיעה תיפסק. השיניים, הלשון והגרון יתייבשו ולא יהיה תיאבון. במצב זה, יש לדקור את BL11, TH16 ו-BL29. נקודות אלו מפזרות חום ומורידות את טמפרטורת הגוף. יש לחזק את מרידיאני טאי יין כדי ליצור זיעה. על פי הניי צ'ינג, זהו הטיפול הרביעי המכונה ""הסרת הבגדים"".""
נֵאי צִ'ינג – 51: ""במיוחד לפיזור עודף יאנג"".
סוּ וֶן – 32: ""נקודה זו היא חלק מקבוצת נקודות המפזרות צ'י יאנג מהאיברים"".",יש לנקוט משנה זהירות בדיקור בחולים עם בעיות קרישה או הנוטלים תרופות נוגדות קרישה.,"נקודה חשובה לטיפול בכאבי גב עליון וצוואר, במיוחד כאשר הם קשורים לחדירת רוח או לחוסר איזון בין יין ויאנג."
116,Bl12,פֶנְג מֶן (Fēng Mén),שער הרוח (Sha'ar HaRu'ach),"פֶנְג (Fēng) – רוח, מֶן (Mén) – דלת, שער. פתוגנים חיצוניים חודרים לגוף דרך נקודה זו. היא משמשת לטיפול בהתקפת רוח חיצונית.","פֶנְג (Fēng) – רוח, מֶן (Mén) – דלת, שער. פתוגנים חיצוניים חודרים לגוף דרך נקודה זו. היא משמשת לטיפול בהתקפת רוח חיצונית.",1.5 צוּן לטרלית לקו האחורי המדיאלי של הגב בחוליה T2 (מול SI13).,ניקוב אנכי בעומק 0.5-1 צוּן.,"1. שיוך לעצמות וגידים
2. מחזקת את מערכת החיסון
3. נקודת מפגש עם מרידיאן ה-GV
4. שוּ (Shu) של העצמות והגידים
5. תומכת בתפקוד הריאות בפיזור אנרגיה
6. מסלקת רוח חיצונית","1. מווסתת יִין (Ying) ווֵיי צִ'י (Wei CHI)
2. מטפלת בשיעול, אף סתום, תחושה חמה, ראש כבד ואלרגיות
3. מטפלת בחוסרים תזונתיים בילדים
4. בשימוש עם LU1+ST12+ST27 לפיזור פתוגנים חמים בחזה.
סוּ וֶן (Su Wen): ""אחת מארבע הנקודות לפיזור חום שתוקף את החזה. הנקודות האחרות הן LU1, ST12 ו-ST27. נאמר שכאשר הנקבוביות אינן סגורות לחלוטין, רוח חמה תחדור לגוף דרך BL12 ותגרום להפרשת נוזלי גוף. במקרה זה יש לחזק את שער הרוח (BL12) כדי למנוע חדירת רוח עודפת לגוף.""",,
117,Bl13,פֵיי שׁוּ (Fei Shu),שׁוּ הָרֵאוֹת (Lung Shu),פֵיי (Fei) - רֵאוֹת; שׁוּ (Shu) - נקודת שוּ,"מֵרִידְיאן שַׁלְפּוּחִית הַשֶׁתֶן מֵאָרֵחַ אֶת נְקֻדּוֹת הַשׁוּ שֶׁל 12 הָאֵיבָרִים. הַנְּקֻדּוֹת מְשַׁמְּשׁוֹת גַּם לְצָרְכֵי אִבְחוּן וְגַם לְצָרְכֵי טִפּוּל. הֵן מְמוּקָמוֹת בְּדֶרֶךְ כְּלָל בָּאֵזוֹר/גֹּבַהּ שֶׁל הָאֵיבָרִים אוֹתָם הֵן מְיַצְּגוֹת. מֵאַחַר וְהָרֵאוֹת הֵן הָאֵיבָרִים בַּמִּקּוּם הַגָּבוֹהַּ בְּיוֹתֵר, הֵן מְיֻצָּגוֹת רִאשׁוֹנוֹת.",1.5 צוּן לָטֵרָלִי לְקַו הָאֶמְצַע הָגוּבִי שֶׁל T3 (מוּל עֶצֶם הַשִׁדְרָה הַסְפִּינָטוּסִית).,הַחְדָּרָה מְאוּנֶכֶת 0.5-1 צוּן.,"1. שׁוּ שֶׁל הָרֵאוֹת.
2. מְעוֹדֶדֶת אֶת זְרִימַת הַצִ'י הַיּוֹרֵד שֶׁל הָרֵאוֹת (Lu Chi).
3. מְפַזֶּרֶת גּוֹרְמִים פָּתוֹגֶנִיִּם חִיצוֹנִיִּים וּפְנִימִיִּים הַתּוֹקְפִים אֶת הָרֵאוֹת.
4. מְחַזֶּקֶת צִ'י רֵאוֹת.","1. טוֹבָה לְכָל הַפָּתוֹלוֹגְיוֹת שֶׁל הָרֵאוֹת מִמַּחְסֹור אוֹ קִפָּאוֹן שֶׁל אֵנֶרְגִּי בָּרֵאוֹת.
נֵי צִ'ינְג:
""כַּאֲשֶׁר יֵשׁ הַפְרָעָה בַּצִ'י, נְפִיחוּת בִּטְנִית, רַעַשׁ מֵעִי, נְפִיחוּת בֶּחָזֶה, קֹשִׁי בִּנְשִׁימָה, דְּקֹר LU1,2"".
סוּ ווֶן 32: ""אַחַת מֵהַנְּקֻדּוֹת בַּקְּבוּצָה הָאַחֲרָאִית לְפִזּוּר יָאנְג צִ'י בְּ-5 אֵיבָרֵי הַ-ZANG. הַנְּקֻדּוֹת הָאֲחֵרוֹת הֵן BL11, 15,17,18,20,23.""",לְלֹא הַזְהָרוֹת סְפֵּצִיפִיּוֹת.,לְלֹא הֶעָרוֹת.
118,Bl14,JUE YIN SHU - 厥陰俞 (תעתיק פין-יין),JUE YIN SHU - נקודת שו של המעטפת (תעתיק מילולי: נקודת הובלה של ה-Jue Yin),אטימולוגיה: מְיֹוּחֶדֶת כנקודת השו האחורית (Back-Shu) של המעטפת (Pericardium).,"תיאור: נקודת דיקור המשמשת בעיקר לטיפול בהפרעות הקשורות למעטפת הלב, ללב ולנפש (Shen).","מיקום: 1.5 צון לטרלית לקו האמצע האחורי, בגובה החוליה הטורקלית הרביעית (T4).","דיקור: בניצב, 0.5-1 צון.",פעולות: 1. נקודת שו של המעטפת (PC). 2. מסדירה את הלב. 3. מרגיעה את ה-Shen (נפש).,פעולות משניות: 1. מרגיעה במצבי פחד ועצבנות. 2. מטפלת בחוסר שינה מחלומות מפחידים. 3. מרגיעה את הגוף. 4. מרגיעה את הנפש.,"זהירות: יש לנקוט משנה זהירות בדיקור עמוק, במיוחד בחולים הסובלים מבעיות נשימה או לב.",הערות: נקודה חשובה להרגעה ואיזון רגשי.
119,Bl15,שין שו,נקודת הלב שו,"שין – לב, שו – אסוציאציה. נקודת השו של הלב הממוקמת ליד איבר הלב.","נקודת השו (Shu) של הלב, הממוקמת בסמוך לאיבר הלב, ומקושרת אליו אנרגטית.","1.5 צון לטרלית לקו האמצע האחורי, בגובה החוליה החמישית של בית החזה (T5).",ניקוב אנכי בעומק 0.5-1 צון.,"1. נקודת שו של הלב.
2. מרגיעה את ה-SHEN (הנפש).
3. מחזקת יכולות חשיבה וריכוז.
4. מרגיעה את הגוף בכל הרמות.
5. מנקה חסימות של דם וצ'י בלב.
6. הנקודה של בגרות.
7. מרגיעה את הנשמה.","מטפלת בכאבים בחזה.
מטפלת בתחושת ""תקיעות"" בחזה.
מטפלת בפחד אקוטי/כרוני.
מאזנת את 5 ההיבטים הרוחניים, מטפלת בבעיות שינה, שיגעון ושכחה.
Nei Ching
Su Wen – 52: ""אין נקודה חשובה יותר מ-BL15"".
ניקוב עמוק מדי עלול לפגוע בלב. המטופל ימות תוך 24 שעות.
לאיזון הלב ניתן להשתמש בטכניקת Shu – Mu שהיא CV14 + BL15.",זהירות בניקוב עמוק מדי עקב סכנת פגיעה בלב.,BL15 נחשבת לנקודה חשובה ביותר באיזון הלב על פי ה-Su Wen.
120,Bl16,DU MAI SHU - דו מאי שו,GV Shu - נקודת אסוציאציה של מרידיאן המושל,"Du - לשלוט, GV Shu - נקודת אסוציאציה","דו - לשלוט, GV Shu - אסוציאציה (נקודת השפעה)",1.5 צון לטרלית לקו האמצע האחורי בגובה החוליה החזה הששית (T6),ניצב לעומק 0.5-1 צון,"1. נקודת Shu של מרידיאן המושל (GV)
2. תומכת בזרימת היאנג דרך עמוד השדרה
3. מחזקת את היאנג באופן כללי
4. תומכת בפיזור וזרימה של יאנג (ויין)
5. תומכת בכל הפונקציות האנרגטיות של איברי ה-Zang וה-Fu
6. מעלה יין ונוזלים לראש
7. מעלה צ'י לראש","מיישרת גב כפוף
מחזקת את עמוד השדרה
מטפלת בסחרחורת וכאבי ראש מחוסר או עודף",,
121,Bl17,SHU GE SHU - שוּ גֶה שוּ,Diaphragm and Esophagus Shu - שוּ הסרעפת והוושט,"Ge – diaphragm Shu – association - גֶה – סרעפת, שוּ – אסוציאציה/הקשר","Ge – diaphragm Shu – association - גֶה – סרעפת, שוּ – אסוציאציה/הקשר",1.5 צוּן לטרלית לקו האמצע האחורי של גוף חוליה T7 (בגובה הקצה התחתון של השכמה),לא צוין,"1. נקודת שוּ של הסרעפת והוושט
2. נקודת מפגש (Hui) של הדם
3. מניעה דם, מפזרת דם תקוע בכל הגוף
4. פותחת את המעבר לצ'י (וגם דם ונוזלי גוף) בין המחמם העליון והאמצעי
5. מחזקת במצבי חסר דם (Blood Xu)
6. מטהרת ומנקה את החזה
7. מניעה צ'י תקוע בחזה
8. משחררת התכווצויות של הוושט","1. מטפלת בשיעול ספסטי
2. מטפלת בכאבים בחזה
3. מטפלת בהקאות המלוות בהתכווצויות של הקיבה והוושט
4. מטפלת בדימום מסטגנציה של דם
Nei Ching:
“למעלה נמצאת BL15 אשר סמוכה לדם (לב). למטה נמצאת BL17 אשר משמרת את הדם, לכן BL17 היא הנקודה של מעבר הדם”",לא צוין,לא צוין
122,Bl18,GAN SHU - גַאן שׁוּ,Liver Shu - שׁוּ הכָּבֵד,Gan – כָּבֵד Shu – התאחדות / נקודת אסוציאציה - Gan – כָּבֵד Shu – התאחדות,Gan – כָּבֵד Shu – אסוציאציה,1.5 צון לטרלית לקו האמצע האחורי בגובה החוליה החזה ה-9 (T9).,ניקוב אנכי בעומק 0.5-1 צון.,"1. נקודת Shu של הכבד.
2. מנקה ליחה וחום מהכבד.
3. מנקה סטגנציה בכבד.
4. מפזרת יאנג צ'י של חמשת איברי ה-Zang.","משפיעה על יאנג הקיבה, מגבירה חומציות בקיבה.
מטפלת בהיסטריה גלובוס (Globus hystericus) הגורמת לקושי בבליעה.
מטפלת בשיעול הגורם לכאבים בצדי הגוף מסטגנציה של צ'י הכבד.
יחד עם BL19, 20, 21 עבור גברים שאינם מסוגלים להתמודד עם בעיות יום יומיות.
Nei Ching
Su Wen – 52: ""אם נקודה זו מנוקבת בעוצמה רבה מדי, היא עלולה לפגוע בכבד. המטופל ימות תוך 5 ימים עם סימני פיהוק.""",,
123,Bl19,DAN SHU - דָאן שׁוּ,Gall Bladder Shu - שׁוּ של כיס המרה,"Dan – כיס מרה, Shu – נקודת הסכמה/אסוציאציה - דָאן – כיס מרה, שׁוּ – אסוציאציה","דָאן – כיס מרה, שׁוּ – אסוציאציה/הסכמה",1.5 צון לטרלית לקו האמצע הגבי של חוליה טורקלית 10 (T-10) - 1.5 צון לטרלית לקו האמצע הגבי של חוליה גבית T10,ניקוב אנכי 0.5-1 צון - החדרת מחט אנכית בעומק 0.5-1 צון,"1. נקודת שוּ של כיס המרה
2. מפעילה צ'י עץ ומפזרת סטגנציות בכל הגוף
3. פותחת סטגנציה בכיס המרה
4. מטהרת חום ולחות בכיס המרה - 1. נקודת שו של כיס המרה
2. ממריצה צ'י עץ ומפזרת סטגנציות בכל הגוף
3. פותחת סטגנציה בכיס המרה
4. מנקה חום ולחות מכיס המרה","1. מורידה נפיחות בבטן מחולשה של הטחול והקיבה (ST/SP XU)
2. משחררת את הסרעפת, מקדמת איזון בין שלושת המחממים
3. מטפלת בכאב בצד הגוף מחסימת צ'י. - 1. מורידה נפיחות בבטן מחולשת ST/SP
2. משחררת את הסרעפת ומאזנת את שלושת המחממים
3. מטפלת בכאבים בצד הגוף הנגרמים מסטגנציית צ'י.

נֵי צִ'ינג (Nei Ching):
סוּ וֶן – 47: ""כאשר למטופל יש טעם מר בפה, זהו סימן לבעיה בכיס המרה. הכבד פועל כמפקד, אך הוא נמצא תחת פיקוחו של כיס המרה. מרידיאן הכבד זורם אל הגרון. כאשר צ'י כיס המרה נחלש, הוא עולה לגרון וגורם לטעם מר בפה. יש לנקב את נקודות ההֶ שוּ ומוּ BL19, GB24, GB34"".

סוּ וֶן – 52: ""אם נקובים עמוק מדי ב-BL19, כיס המרה ייפגע. המטופל יקיא וימות תוך יום וחצי"".",לא ידוע,יש להיזהר מניקוב עמוק מדי.
124,Bl20,PI SHU (פי שוּ),Spleen Shu (שׁוּ הטחול),"Pi – טחול, Shu – נקודת אסוציאציה (Pi – טחול, Shu – אסוציאציה/הסכמה)","Pi – טחול, Shu – אסוציאציה/הסכמה (נקודת האסוציאציה של הטחול)",1.5 צון לטרלית לקו האמצע האחורי של החוליה החזה ה-11 (T-11) (1.5 צון לטרלית לקו אמצע הגב בגובה החוליה התוראקלית ה-11),יש להתייעץ עם מומחה לדיקור סיני לגבי טכניקת הדיקור המומלצת.,"1. נקודת שוּ של הטחול
2. מחזקת את הטחול והקיבה (SP/ST)
3. תומכת ומחזקת את תפקודי המחמם האמצעי
4. מקדמת את הטרנספורמציה והטרנספורטציה של הטחול
5. מנקה ליחה וסטגנציה מהג'יאו האמצעי
6. מקדמת יצירת צ'י
7. מחזקת את הצ'י של כל האיברים, במיוחד איברי ה-Zang וה-Fu
8. שולחת צ'י לגפיים","1. רגישות ב-BL20 היא סימן לכיב:
בצד שמאל – כיב קיבה
בצד ימין – כיב תריסריון
2. מטפלת בנפיחות בבטן, בצקת במעיים, רעשים (בורבוריגמוס) ואגירת מים.
Nei Ching
Su Wen – 52: ""דיקור עמוק מדי ב-BL20 יפגע בטחול. תתחיל נפיחות והמטופל ימות תוך 10 ימים.""",יש להיזהר מדיקור עמוק מדי.,נקודה חשובה מאוד לטיפול במצבים הקשורים לחולשה של הטחול.
125,Bl21,WEI SHU - וֵיי שׁוּ,Stomach Shu - שׁוּ הַקֵּבָה,Wei – קֵּבָה Shu – אֲסוֹצִיאָצְיָה,"Wei – קֵּבָה, Shu – נקודת אסוציאציה (נקודת שו האחורית)",1.5 צון לָטֵרָלִי לקו האמצע הגבי של חוליה T-12,ניקוב אנכי בעומק 0.5-1 צון,"1. שו של הקיבה
2. מזין יין כליות
3. מחזק קיבה
4. מקבל ענף מהקיבה ומה-ST TMM (גידי שרירים מרידיאניים של הקיבה)
5. מפזר סטגנציה והצטברות של מזון בקיבה
6. בונה ג'ין וייה","מטפל בכאבי קיבה עקב תחושת מלאות וסטגנציה של מזון בקיבה. ניי צ'ינג. סו וון – 28: ""לשלשול מחוסר כליות, יש לחזק את נקודות השו של כליות (BL23) וקיבה""",ללא ציון,ללא ציון
126,Bl22,סאן ג'יאו שוּ,שוּ של מחמם 3,"סאן – 3, ג'יאו – מחמם",נקודת השוּ של המחמם המשולש.,1.5 צון לטרלית לקו האמצע האחורי בגובה L1.,ניקוב אנכי בעומק 0.5-1 צון.,"1. שוּ של המחמם המשולש (TH).
2. מפזר נוזלים ומסדיר את זרימת הג'ין והיֵה.
3. תומך בתפקודי כל האברים.
4. מקבל ענפים מנקודות בכל שלושת המחממים: עליון - CV17, אמצעי - CV12, תחתון - CV5, CV7.
5. מזרים צ'י בכל הגוף.
6. פותח חסימות בכל מקום.","1. פותח את מעברי המים.
2. מביא סדר לטרנספורמציה של מים בכל שלושת המחממים.
3. מטפל בכל בעיות הצטברות צ'י באברי ה-Zang או Fu המתבטאות בתחושת מלאות.
נֶי גִ'ינג:
בהפרעות של המחמם המשולש השתמשו בשיטת שוּ מוּ: שוּ ראשי של המחמם המשולש - CV5
שוּ של המחמם התחתון - CV7
שוּ של המחמם האמצעי - CV12
שוּ של המחמם העליון - CV17",,
